ID,Name,Team ID,Team Name,G,GS,GR,CG,SHO,NBB,W,L,SV,HLD,IP,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,GO,FO
0000007060,蘭道爾,ADD,統一,7,5,2,0,0,0,5,2,0,0,34.0,138,561,26,1,10,0,5,19,1,0,11,11,41,37
0000003401,傅于剛,ADD,統一,5,0,5,0,0,0,0,0,0,0,3.1,19,66,7,1,2,0,0,1,1,0,5,1,6,3
0000002589,潘威倫,ADD,統一,4,1,3,0,0,0,0,1,0,0,9.2,45,150,15,1,1,0,1,5,0,0,11,11,10,13
0000002679,江承諺,ADD,統一,4,4,0,0,0,0,1,2,0,0,17.1,82,322,14,2,14,0,3,4,0,0,4,4,12,35
0000004635,江國謙,ADD,統一,4,0,4,0,0,0,0,1,0,0,2.2,17,75,5,1,2,0,1,4,0,0,5,4,0,5
0000004639,方建德,ADD,統一,1,0,1,0,0,0,0,0,0,0,0.1,7,26,5,1,0,0,0,0,0,0,6,5,1,1
0000005482,吳承諭,ADD,統一,1,0,1,0,0,0,0,0,0,0,0.0,3,14,3,0,0,0,0,0,0,0,3,3,0,0
0000006507,豪勁,AJL,樂天,50,0,50,0,0,0,6,3,13,5,58.0,261,971,70,3,23,2,2,42,3,0,28,21,80,44
0000006228,王志煊,AJL,樂天,43,0,43,0,0,0,1,0,1,11,35.0,126,513,17,0,8,0,6,23,0,0,5,5,38,34
0000000941,陳冠宇,AJL,樂天,41,0,41,0,0,0,2,1,2,12,39.0,166,670,35,4,14,1,1,37,1,0,17,16,47,32
0000003292,賴鴻誠,AJL,樂天,39,0,39,0,0,0,1,1,0,18,30.1,122,470,22,0,9,0,1,15,4,0,6,6,33,42
0000000128,朱俊祥,AJL,樂天,38,0,38,0,0,0,2,1,0,6,32.0,133,477,32,4,8,0,0,21,3,0,14,14,33,39
0000003616,黃偉晟,AJL,樂天,38,0,38,0,0,0,1,1,1,9,31.1,133,485,26,0,12,0,3,14,1,0,8,4,43,35
0000000135,陳禹勳,AJL,樂天,37,0,37,0,0,0,1,3,2,9,32.1,158,634,37,2,19,1,2,25,6,0,18,14,41,34
0000003606,陳鴻文,AJL,樂天,33,4,29,0,0,0,1,6,7,3,50.0,231,865,61,1,19,0,5,25,5,0,22,19,46,75
0000005285,許峻暘,AJL,樂天,26,0,26,0,0,0,0,0,0,3,24.0,119,468,34,3,12,0,1,22,0,2,22,21,19,31
0000002274,黃子鵬,AJL,樂天,24,24,0,0,0,0,9,10,0,0,145.1,650,2315,174,12,44,0,9,72,0,0,64,58,182,169
0000005558,蘇俊璋,AJL,樂天,21,0,21,0,0,0,0,0,1,7,19.2,88,351,23,5,7,1,1,15,1,0,17,17,23,19
0000006720,邱駿威,AJL,樂天,19,0,19,0,0,0,0,0,0,2,22.2,106,424,32,1,9,0,0,10,3,0,18,15,33,22
0000003608,曾仁和,AJL,樂天,19,14,5,0,0,0,6,6,0,0,91.0,407,1522,110,4,25,0,7,64,3,0,53,46,131,70
0000007050,道博格,AJL,樂天,16,13,3,0,0,0,6,4,0,0,73.1,321,1258,69,2,36,0,2,49,8,0,38,27,95,70
0000004624,陳克羿,AJL,樂天,16,16,0,0,0,0,6,5,0,0,84.0,370,1398,85,6,33,0,8,48,2,1,49,43,107,89
0000006907,霍爾,AJL,樂天,15,15,0,0,0,0,4,4,0,0,76.2,347,1377,94,9,15,0,7,67,10,0,45,40,76,88
0000006908,威達爾,AJL,樂天,12,12,0,0,0,0,5,5,0,0,71.0,309,1195,78,5,14,0,4,60,5,0,39,26,83,70
0000006420,雷法	,AJL,樂天,12,12,0,0,0,0,4,3,0,0,67.1,298,1161,70,5,28,0,2,56,3,0,43,29,70,72
0000007062,威能帝,AJL,樂天,8,8,0,1,0,1,4,1,0,0,51.2,207,818,38,3,14,0,0,53,2,0,15,12,49,53
0000004629,楊彬,AJL,樂天,6,0,6,0,0,0,0,0,0,1,12.0,52,225,12,0,5,0,0,8,1,0,5,4,15,12
0000005509,莊昕諺,AJL,樂天,5,0,5,0,0,0,0,0,0,1,10.0,58,227,18,0,9,0,1,6,1,0,14,11,8,16
0000006857,舒治浩,AJL,樂天,5,0,5,0,0,0,0,0,0,0,2.2,15,67,1,1,5,0,1,1,1,0,4,3,2,5
0000006715,張梓軒,AJL,樂天,4,0,4,0,0,0,0,0,0,0,2.2,15,58,2,0,3,0,2,2,1,0,4,4,4,2
0000003465,王溢正,AJL,樂天,4,1,3,0,0,0,0,0,0,0,4.1,25,104,5,0,6,0,1,3,2,0,3,3,5,5
0000004632,范柏絜,AJL,樂天,3,0,3,0,0,0,0,0,0,0,4.0,20,81,5,0,1,0,0,5,0,1,3,1,5,4
0000006722,賴知頎,AJL,樂天,3,0,3,0,0,0,1,1,0,0,7.0,36,137,8,0,4,0,2,3,0,0,3,2,7,12
0000007051,由規,AJL,樂天,1,0,1,0,0,0,0,0,0,0,0.1,5,30,3,0,0,0,0,1,0,0,2,1,1,0
0000007072,林華偉,AJL,樂天,1,0,1,0,0,0,0,0,0,0,1.0,4,18,0,0,1,0,0,1,0,0,0,0,2,0
0000007074,曾家輝,AJL,樂天,1,0,1,0,0,0,0,0,0,0,1.0,6,19,2,0,0,0,1,1,0,0,1,1,0,2
0000003563,余德龍,AJL,樂天,1,0,1,0,0,0,0,0,0,0,1.0,4,12,1,0,0,0,0,0,0,0,0,0,1,2
0000006237,林子崴,AJL,樂天,1,1,0,0,0,0,0,1,0,0,1.0,10,35,4,1,3,0,0,0,0,0,7,7,2,1
0000006227,曾峻岳,AEO,富邦,54,0,54,0,0,0,2,2,18,9,51.2,200,807,29,1,17,1,1,60,2,0,7,7,41,52
0000006745,陳冠勳,AEO,富邦,54,0,54,0,0,0,2,0,0,10,46.2,204,783,44,0,25,2,3,35,2,0,21,18,58,39
0000005592,富藍戈,AEO,富邦,52,0,52,0,0,0,5,4,9,17,66.1,246,968,38,1,13,1,1,71,1,1,10,7,51,72
0000005292,岳少華,AEO,富邦,46,0,46,0,0,0,1,1,0,5,42.1,192,759,48,1,21,3,1,38,3,0,21,16,40,44
0000002347,王尉永,AEO,富邦,42,0,42,0,0,0,1,2,0,7,34.0,145,553,25,2,18,1,1,24,1,1,14,13,36,41
0000004628,歐書誠,AEO,富邦,30,0,30,0,0,0,2,0,0,2,22.0,102,404,27,6,11,0,3,10,1,0,18,16,25,26
0000006739,李子強,AEO,富邦,29,4,25,0,0,0,2,4,0,1,48.1,208,871,43,2,24,0,2,47,0,0,26,24,35,57
0000006905,肯特,AEO,富邦,25,24,1,0,0,0,5,12,0,0,150.1,629,2311,160,6,34,0,9,69,3,0,64,54,247,110
0000001260,郭俊麟,AEO,富邦,23,8,15,0,0,0,2,7,0,0,69.0,323,1217,92,7,26,0,2,37,3,0,55,49,74,92
0000002272,賴智垣,AEO,富邦,22,0,22,0,0,0,0,1,0,3,18.1,87,320,21,0,12,1,1,10,2,0,11,9,22,21
0000000363,陳仕朋,AEO,富邦,22,22,0,2,2,0,7,9,0,0,122.1,531,2019,140,7,28,0,4,71,3,0,61,49,168,120
